DateTime;KM_SW_FR_Summe [liter];BM_SW_FR_Summe [liter];__WNW150_Summe [mm];BG_SW_FR_Summe [mm];KG_SW_FR_Summe [mm]
16.10.22 18:40:05;0;0;0;0,1;0,1
16.10.22 18:50:05;0;0;0;0,1;0,1
16.10.22 19:00:05;0;0;0;0,1;0,1
16.10.22 19:10:05;0;0;0;0,1;0,1
16.10.22 19:20:05;0;0;0;0,1;0,1
16.10.22 19:30:05;0;0;0;0,1;0,1
16.10.22 19:40:05;0;0;0;0,1;0,1
16.10.22 19:50:05;0;0;0;0,1;0,1
16.10.22 20:00:05;0;0;0;0,1;0,1
16.10.22 20:10:05;0;0;0;0,1;0,1
16.10.22 20:20:05;0;0;0;0,1;0,1
16.10.22 20:30:06;0;0;0;0,1;0,1
16.10.22 20:40:05;0;0;0;0,1;0,1
16.10.22 20:50:05;0;0;0;0,1;0,1
16.10.22 21:00:05;0;0;0;0,1;0,1
16.10.22 21:10:06;0;0;0;0,1;0,1
16.10.22 21:20:05;0;0;0;0,1;0,1
16.10.22 21:30:05;0;0;0;0,1;0,1
16.10.22 21:40:05;0;0;0;0,1;0,1
16.10.22 21:50:05;0;0;0;0,1;0,1
16.10.22 22:00:05;0;0;0;0,1;0,1
16.10.22 22:10:05;0;0;0;0,1;0,1
16.10.22 22:20:05;0;0;0;0,1;0,1
16.10.22 22:30:05;0;0;0;0,1;0,1
16.10.22 22:40:05;0;0;0;0,1;0,1
16.10.22 22:50:05;0;0;0;0,1;0,1
16.10.22 23:00:05;0;0;0;0,1;0,1
16.10.22 23:10:05;0;0;0;0,1;0,1
16.10.22 23:20:05;0;0;0;0,1;0,1
16.10.22 23:30:05;0;0;0;0,1;0,1
16.10.22 23:40:06;0;0;0;0,1;0,1
16.10.22 23:50:05;0;0;0;0,1;0,1
17.10.22 00:00:05;0;0;0;0,1;0,1
17.10.22 00:10:05;0;0;0;0;0
17.10.22 00:20:05;0;0;0;0;0
17.10.22 00:30:05;0;0;0;0;0
17.10.22 00:40:05;0;0;0;0;0
17.10.22 00:50:05;0;0;0;0;0,1
17.10.22 01:00:05;0;0;0;0;0,1
17.10.22 01:10:05;0;0;0;0;0,1
17.10.22 01:20:05;0;0;0;0;0,1
17.10.22 01:30:05;0;0;0;0;0,1
17.10.22 01:40:05;0;0;0;0;0,1
17.10.22 01:50:05;0;0;0;0;0,1
17.10.22 02:00:05;0;0;0;0;0,1
17.10.22 02:10:05;0;0;0;0;0,1
17.10.22 02:20:05;0;0;0;0;0,1
17.10.22 02:30:05;0;0;0;0;0,1
17.10.22 02:40:05;0;0;0;0;0,1
17.10.22 02:50:05;0;0;0;0;0,1
17.10.22 03:00:05;0;0;0;0;0,1
